ID,MUNDO,PUNTO DE RECORRIDO,TIPO DE RETO,Contexto (si hace falta),Enunciado ciudadanía (default),Puntos por respuesta correcta,Respuesta 1,% R1,Respuesta 2,% R2,Respuesta 3,% R3,Respuesta 4,% R4,Num. Articulo,Artículo de la constitución (texto),Feedback del juego,TIEMPO (segundos),Dificultad,
11,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El Boletín Constitucional es:,10,El órgano de publicación oficial de los actos del Tribunal Constitucional,100%,Un periódico de distribución gratuita,0%,Un informe económico,0%,Boletín informativo,0%,4,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Potestad Reglamentaria. El Tribunal Constitucional dictará los reglamentos que fueren necesarios para su funcionamiento y organización administrativa. Una vez aprobados por el Pleno del Tribunal, los mismos se publicarán en el Boletín Constitucional, que es el órgano de publicación oficial de los actos del Tribunal Constitucional, así como en el portal institucional.",30,Medio,
12,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,La justicia constitucional es:,10,Una potestad del Tribunal Constitucional y del Poder Judicial,100%,Una función exclusiva del Poder Judicial,0%,Una atribución del Congreso Nacional,0%,Una función exclusiva del Poder Legislativo,0%,5,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Justicia Constitucional. La justicia constitucional es la potestad del Tribunal Constitucional y del Poder Judicial de pronunciarse en materia constitucional en los asuntos de su competencia. Se realiza mediante procesos y procedimientos jurisdiccionales que tienen como objetivo sancionar las infracciones constitucionales para garantizar la supremacía, integridad y eficacia y defensa del orden constitucional, su adecuada interpretación y la protección efectiva de los derechos fundamentales.",30,Medio,
13,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Una infracción constitucional se configura cuando:,10,Se contradice el texto o los efectos de una norma con la Constitución,100%,Se contraviene una ley municipal,0%,Se incumple un contrato,0%,Se viola un decreto Presidencial,0%,6,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Infracciones Constitucionales. Se tendrá por infringida la Constitución cuando haya contradicción del texto de la norma, acto u omisión cuestionado, de sus efectos o de su interpretación o aplicación con los valores, principios y reglas contenidos en la Constitución y en los tratados internacionales sobre derechos humanos suscritos y ratificados por la República Dominicana o cuando los mismos tengan como consecuencia restar efectividad a los principios y mandatos contenidos en los mismos.",30,Medio,
14,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El principio de gratuidad en la justicia constitucional significa que:,10,No está condicionada a costos que dificulten su acceso,100%,Se debe pagar para acceder a la justicia,0%,Solo es gratuita para nacionales,0%,En los casos penales no es necesario pagar,0%,7,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Principios Rectores. El sistema de justicia constitucional se rige por los siguientes principios rectores: 6) Gratuidad. La justicia constitucional no está condicionada a sellos, fianzas o gastos de cualquier naturaleza que dificulten su acceso o efectividad y no está sujeta al pago de costas, salvo la excepción de inconstitucionalidad cuando aplique.",30,Medio,
15,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El Tribunal Constitucional es competente para conocer:,10,Casos previstos por el Artículo 185 de la Constitución,100%,Casos de derecho penal,0%,Casos de derecho laboral,0%,Casos de derecho civil,0%,9,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.",Competencia. El Tribunal Constitucional es competente para conocer de los casos previstos por el Artículo 185 de la Constitución y de los que esta ley le atribuye. Conocerá de las cuestiones incidentales que surjan ante él y dirimirá las dificultades relativas a la ejecución de sus decisiones.,30,Medio,
16,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El Tribunal Constitucional tiene la potestad de adoptar medidas de oficio para:,10,Garantizar la supremacía constitucional y el pleno goce de los derechos fundamentales,100%,Regular el mercado financiero,0%,Modificar leyes en interés público,0%,Promulgar decretos constitucionales,0%,7,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Principios Rectores. El sistema de justicia constitucional se rige por lossiguientes principios rectores:11) Oficiosidad. Todo juez o tribunal, como garante de la tutela judicial efectiva, debe adoptar de oficio, las medidas requeridas para garantizar la supremacía constitucional y el pleno goce de los derechos fundamentales, aunque no hayan sido invocadas por las partes o las hayan utilizado erróneamente.",30,Medio,
17,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,La jurisdicción del Tribunal Constitucional está destinada a:,10,  Sancionar infracciones constitucionales,100%,Regular conflictos políticos,0%,Emitir políticas económicas,0%,Controlar el poder legislativo,0%,5,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Justicia Constitucional. La justicia constitucional es la potestad del Tribunal Constitucional y del Poder Judicial de pronunciarse en materia constitucional en los asuntos de su competencia. Se realiza mediante procesos y procedimientos jurisdiccionales que tienen como objetivo sancionar las infracciones constitucionales para garantizar la supremacía, integridad y eficacia y defensa del orden constitucional, su adecuada interpretación y la protección efectiva de los derechos fundamentales.",30,Medio,
18,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El principio de favorabilidad en la justicia constitucional significa que:,10,Se optimiza la máxima efectividad en favor del titular del derecho fundamental,100%,La Constitución debe interpretarse en detrimento del titular del derecho fundamental,0%,Se favorece al Estado sobre el individuo,0%,Se debe decidir lo mejor para el sistema de justicia,0%,7,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.",Principios Rectores. El sistema de justicia constitucional se rige por los siguientes principios rectores: 5) Favorabilidad. La Constitución y los derechos fundamentales deben ser interpretados y aplicados de modo que se optimice su máxima efectividad para favorecer al titular del derecho fundamental.,30,Medio,
19,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El principio de informalidad en los procesos constitucionales implica que:,10,Se evita rigores innecesarios que afecten la tutela judicial efectiva,100%,Se deben seguir estrictos mandatos,0%,Se requiere un procedimiento rígido y estricto,0%,Se prioriza la formalidad del proceso,0%,7,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.",Principios Rectores. El sistema de justicia constitucional se rige por los siguientes principios rectores:9) Informalidad. Los procesos y procedimientos constitucionales deben estar exentos de formalismos o rigores innecesarios que afecten la tutela judicial efectiva.,30,Medio,
20,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El principio de oficiosidad en la justicia constitucional indica que:,10,El juez o tribunal debe adoptar de oficio medidas para garantizar la supremacía constitucional,100%,El juez debe esperar a que las partes invoquen sus derechos,0%,El juez no puede intervenir de oficio en ningún caso,0%,El juez debe seguir siempre las instrucciones de las partes,0%,7,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Principios Rectores. El sistema de justicia constitucional se rige por los siguientes principios rectores: 11) Oficiosidad. Todo juez o tribunal, como garante de la tutela judicial efectiva, debe adoptar de oficio, las medidas requeridas para garantizar la supremacía constitucional y el pleno goce de los derechos fundamentales, aunque no hayan sido invocadas por las partes o las hayan utilizado erróneamente.",30,Medio,
21,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Según la Ley Orgánica del Tribunal Constitucional y de los Procedimientos Constitucionales la sede del Tribunal Constitucional de la República Dominicana se encuentra en:,10,"Santo Domingo de Guzmán, Distrito Nacional",100%,Santiago,0%,Puerto Plata,0%,Samaná,0%,8,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Sede. El Tribunal Constitucional tiene como sede la ciudad de Santo Domingo de Guzmán, Distrito Nacional. Puede sesionar en cualquier otro lugar de la República Dominicana.",30,Medio,
22,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El Tribunal Constitucional puede dictar reglamentos para:,10,Su funcionamiento y organización administrativa,100%,Regular la economía,0%,Cambiar la Constitución,0%,Regular la labor legislativa constitucional,0%,4,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Potestad Reglamentaria. El Tribunal Constitucional dictará los reglamentos que fueren necesarios para su funcionamiento y organización administrativa. Una vez aprobados por el Pleno del Tribunal, los mismos se publicarán en el Boletín Constitucional, que es el órgano de publicación oficial de los actos del Tribunal Constitucional, así como en el portal institucional.",30,Medio,
23,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Los extranjeros en República Dominicana:,10,Tienen la obligación de registrarse en el Libro de Extranjería,100%,No tienen la obligación de registrarse en ningún libro,0%,Tienen que registrarse en la Oficialía del Estado Civil,0%,No tienen la obligación de registrarse en el Libro de Extranjería,0%,25,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Régimen de extranjería. Extranjeros y extranjeras tienen en la República Dominicana los mismos derechos y deberes que los nacionales, con las excepciones y limitaciones que establecen esta Constitución y las leyes; en consecuencia:2) Tienen la obligación de registrarse en el Libro de Extranjería, de acuerdo con la ley;",30,Medio,
24,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,¿Cuáles son los símbolos patrios?,10,"La Bandera Nacional, el Escudo Nacional y el Himno Nacional",100%,La Bandera Nacional y el Escudo Nacional,0%,"La Bandera Nacional, los Padres de la Patria y el Escudo Nacional",0%,El Himno Nacional y los Padres de la Patria,0%,30,Constitución de la República Dominicana,"Símbolos patrios. Los símbolos patrios son la Bandera Nacional, el Escudo Nacional y el Himno Nacional.",30,Fácil,
25,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,¿Cuáles son los colores de la Bandera Nacional?,10,"Azul ultramar y rojo bermellón, separados por una cruz blanca",100%,Azul y rojo,0%,"Azul marino y blanco, separados por una cruz blanca",0%,Roja y blanco,0%,31,Constitución de la República Dominicana,"Bandera Nacional. La Bandera Nacional se compone de los colores azul ultramar y rojo bermellón, en cuarteles alternados, colocados de tal modo que el azul quede hacia la parte superior del asta, separados por una cruz blanca del ancho de la mitad de la altura de un cuartel y que lleve en el centro el Escudo Nacional.",30,Fácil,
26,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,¿Quiénes son los autores del Himno Nacional?,10,José Reyes y Emilio Prud´Homme,100%,Juan Pablo Duarte,0%,Los 3 Padres de la Patria,0%,Horacio Vásquez,0%,33,Constitución de la República Dominicana,"Himno Nacional. El Himno Nacional es la composición musical de José Reyes con letras de Emilio Prud´Homme, y es único e invariable.",30,Fácil,
27,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.1 Principios generales y fundamentales de la República,Preguntas y respuestas,-,El idioma oficial de la República Dominicana es el español.,10,Verdadero,100%,Falso,0%,,0%,,0%,29,Constitución de la República Dominicana,Idioma oficial. El idioma oficial de la República Dominicana es el español.,30,Fácil,
28,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.3 Régimen municipal y descentralización,Preguntas y respuestas,-,"La Bandera Nacional se compone de los colores azul ultramar y rojo bermellón, en cuarteles alternados, colocados de tal modo que el azul quede hacia la parte superior de la asta, separados por una cruz blanca del ancho de la mitad de la altura de un cuartel y que lleve en el centro el Escudo Nacional.",10,Verdadero,100%,Falso,0%,,0%,,0%,31,Constitución de la República Dominicana,"Bandera Nacional. La Bandera Nacional se compone de los colores azul ultramar y rojo bermellón, en cuarteles alternados, colocados de tal modo que el azul quede hacia la parte superior de la asta, separados por una cruz blanca del ancho de la mitad de la altura de un cuartel y que lleve en el centro el Escudo Nacional.",30,Fácil,
29,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.3 Régimen municipal y descentralización,Preguntas y respuestas,-,"El Escudo Nacional tiene los colores distintos a la Bandera Nacional y no lleva nada en el centro, solo una cinta azul ultramar en la cual se lee el lema “Dios, Patria y Libertad”.",10,Falso,100%,Verdadero,0%,,0%,,0%,32,Constitución de la República Dominicana,"Escudo Nacional. El Escudo Nacional tiene los mismos colores de la Bandera Nacional dispuestos en igual forma. Lleva en el centro la Biblia abierta en el Evangelio de San Juan, capítulo 8, versículo 32, y encima una cruz, los cuales surgen de un trofeo integrado por dos lanzas y cuatro banderas nacionales sin escudo, dispuestas a ambos lados; lleva un ramo de laurel del lado izquierdo y uno de palma al lado derecho. Está coronado por una cinta azul ultramar en la cual se lee el lema “Dios, Patria y Libertad”. En la base hay otra cinta de color rojo bermellón cuyos extremos se orientan hacia arriba con las palabras “República Dominicana”.",30,Fácil,
30,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.3 Régimen municipal y descentralización,Preguntas y respuestas,-,"El Himno Nacional es la composición musical de Juan Pablo Duarte, y es único e invariable.",10,Falso,100%,Verdadero,0%,,0%,,0%,33,Constitución de la República Dominicana,"Himno Nacional. El Himno Nacional es la composición musical de José Reyes con letras de Emilio Prud´Homme, y es único e invariable.",30,Fácil,
31,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,El Lema Nacional es “Quisqueyanos valientes alcemos nuestro canto con viva emoción.,10,Falso,100%,Verdadero,0%,,0%,,0%,34,Constitución de la República Dominicana,"Lema Nacional. El Lema Nacional es “Dios, Patria y Libertad”.",30,Fácil,
32,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"Los días de fiesta nacional son el 27 de febrero y 16 de agosto, aniversarios de la Independencia y la Restauración de la República, respectivamente.",10,Verdadero,100%,Falso,0%,,0%,,0%,35,Constitución de la República Dominicana,"Días de fiesta nacional. Los días 27 de febrero y 16 de agosto, aniversarios de la Independencia y la Restauración de la República, respectivamente, se declaran de fiesta nacional.",30,Fácil,
33,M4 - TRIBUNAL CONSTITUCIONAL Y LOS PROCEDIMIENTOS CONSTITUCIONALES,C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,Para asumir el cargo de Juez del Tribunal Constitucional se requiere:,10,Prestar juramento ante el Consejo Nacional de la Magistratura,100%,Prestar juramento ante el presidente de la República,0%,Prestar juramento ante el presidente del Poder Judicial,0%,Prestar juramento ante el Consejo del Poder Judicial,0%,15,"Ley No. 137-11 Orgánica del Tribunal Constitucional y de los procedimientos 
constitucionales.","Juramento. Para asumir el cargo de Juez del Tribunal Constitucional se requiere prestar juramento ante el Consejo Nacional de la Magistratura, de lo cual se levantará acta",30,Difícil,
34,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,La ley reglamentará el uso de los símbolos patrios y las dimensiones de la Bandera Nacional y del Escudo Nacional.,10,Verdadero,100%,Falso,0%,,0%,,0%,36,Constitución de la República Dominicana,Reglamentación de los símbolos patrios. La ley reglamentará el uso de los símbolos patrios y las dimensiones de la Bandera Nacional y del Escudo Nacional.,30,Fácil,
35,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Permite la Constitución la pena de muerte en la República Dominicana?,10,"No, la prohíbe completamente.",100%,"Sí, en casos excepcionales.",0%,La libre asociación para fines pacíficos.,0%,No tiene prohibiciones de maltrato a las personas.,0%,42,Constitución de la República Dominicana,"Derecho a la integridad personal. Toda persona tiene derecho a que se respete su integridad física, psíquica, moral y a vivir sin violencia. Tendrá la protección del Estado en casos de amenaza, riesgo o violación de las mismas. En consecuencia:1) Ninguna persona puede ser sometida a penas, torturas o procedimientos vejatorios que impliquen la pérdida o disminución de su salud, o de su integridad física o psíquica;",30,Fácil,
36,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Pueden las personas ejercer el derecho de reunión?,10,"  Sí, sin previo aviso y con fines lícitos y pacíficos, de conformidad con la ley.",100%,"No, bajo ninguna circunstancia.",0%,"Sí, a discreción del gobierno.",0%,Solo las autoridades lo pueden decidir.,0%,48,Constitución de la República Dominicana,"Libertad de reunión. Toda persona tiene el derecho de reunirse, sin permiso previo, con fines lícitos y pacíficos, de conformidad con la ley",30,Medio,
37,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"La Constitución establece la Libertad de reunión, y dice que para reunirse se necesita el permiso de las autoridades.",10,Falso,100%,Verdadero,0%,,0%,,0%,48,Constitución de la República Dominicana,"Libertad de reunión. Toda persona tiene el derecho de reunirse, sin permiso previo, con fines lícitos y pacíficos, de conformidad con la ley.",30,Fácil,
38,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué garantiza el artículo 49 en cuanto a la libertad de expresión?,10,"El derecho a expresar libremente pensamientos, ideas y opiniones.",100%,El derecho a la libertad religiosa.,0%,El derecho a recibir educación gratuita.,0%,El derecho a la salud.,0%,49,Constitución de la República Dominicana,"Libertad de expresión e información. Toda persona tiene derecho a expresar libremente sus pensamientos, ideas y opiniones, por cualquier medio, sin que pueda establecerse censura previa.",30,Fácil,
39,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué garantiza el artículo 49 en cuanto a la libertad de expresión?,10,"    El derecho a expresar libremente pensamientos, ideas y opiniones.",100%,El derecho a la libertad religiosa.,0%,El derecho a recibir educación gratuita.,0%,El derecho a la salud.,0%,49,Constitución de la República Dominicana,"Libertad de expresión e información. Toda persona tiene derecho a expresar libremente sus pensamientos, ideas y opiniones, por cualquier medio, sin que pueda establecerse censura previa.",30,Fácil,
40,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"La libertad de expresión se ejerce sin respetar el derecho al honor, a la intimidad, así como a la dignidad y la moral de las personas.",10,Falso,100%,Verdadero,0%,,0%,,0%,49,Constitución de la República Dominicana,"Libertad de expresión e información. Párrafo. - El disfrute de estas libertades se ejercerá respetando el derecho al honor, a la intimidad, así como a la dignidad y la moral de las personas, en especial la protección de la juventud y de la infancia, de conformidad con la ley y el orden público.",30,Fácil,
41,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,"La libertad de expresión dice que toda persona tiene el derecho a expresar libremente sus pensamientos, ideas y opiniones, por cualquier medio, sin que pueda establecerse censura previa.",10,Verdadero,100%,Falso,0%,,0%,,0%,49,Constitución de la República Dominicana,"Libertad de expresión e información. Toda persona tiene derecho a expresar libremente sus pensamientos, ideas y opiniones, por cualquier medio, sin que pueda establecerse censura previa.",30,Fácil,
42,"M1 - DERECHOS, DEBERES Y FUNDAMENTOS DEL ESTADO DOMINICANO",C1.4 Organismos de control y garantías institucionales,Preguntas y respuestas,-,¿Qué garantiza la Constitución respecto a la información?,10,"El acceso a la información de todo tipo, de carácter público.",100%,El control total del gobierno sobre la información.,0%,El acceso a información pública es solo para ciudadanos dominicanos.,0%,El acceso a información pública es solo para ciudadanos extranjeros.,0%,49,Constitución de la República Dominicana,"Libertad de expresión e información. Toda persona tiene derecho a expresar libremente sus pensamientos, ideas y opiniones, por cualquier medio, sin que pueda establecerse censura previa.1) Toda persona tiene derecho a la información. Este derecho comprende buscar, investigar, recibir y difundir información de todo tipo, de carácter público, por cualquier medio, canal o vía, conforme determinan la Constitución y la ley;",30,Fácil,
